location,7CD9F4004569,7CD9F4009D60,7CD9F400C540,7CD9F400D5BD,7CD9F401AE04,7CD9F4028BBA,7CD9F402DE77,7CD9F402F48A,7CD9F4038463,7CD9F403A33C,7CD9F403A9A3,7CD9F403C26A,7CD9F40402E4,7CD9F4042BB9,7CD9F4192C39,7CD9F41C2ED9
"65, 103",-95,-95,-95,-66.60698689956332,-95.20833333333331,-95,-94.21518987341771,-95,-95,-95,-95,-95,-95,-95,-84.53225806451613,-95
"54,78",-95,-95,-95,-93.288,-83.8623188405797,-95,-67.35609756097561,-86.20348837209302,-95,-95,-96.45,-98.0,-95,-95,-68.07476635514018,-95
"49,80",-95,-95,-95,-95.21818181818182,-91.4,-95,-64.87254901960785,-83.84246575342466,-95,-95,-87.95762711864407,-98.0,-95,-95,-76.44378698224853,-95
"47,78",-95,-95,-95,-93.65384615384616,-85.67088607594937,-95,-65.33663366336634,-81.90789473684211,-95,-95,-88.9908256880734,-95.8181818181818,-95,-95,-74.8010752688172,-95
"25,80",-95,-95,-95,-97.0,-88.31428571428572,-95,-76.75581395348837,-73.34482758620689,-95,-95,-89.5,-100.0,-95,-95,-78.61206896551724,-95
"80,66",-95,-95,-95,-95,-94.55263157894736,-95,-97.33333333333331,-95,-95,-95,-96.63934426229508,-91.6734693877551,-95,-95,-95.7560975609756,-95
"95,70",-95,-95,-95,-95,-87.2948717948718,-95,-96.66666666666669,-95,-95,-95,-97.0,-70.02525252525253,-95,-95,-95.02439024390245,-95
"89,70",-95,-95,-95,-95,-84.01234567901234,-95,-94.125,-95,-95,-95,-96.0,-67.52657004830918,-95,-95,-95.27272727272728,-95
"42,63",-95,-95,-95,-95,-97.4375,-95,-88.4622641509434,-91.46551724137932,-95,-95,-73.51633986928104,-95,-95,-95,-86.77777777777777,-95
"40,51",-95,-95,-95,-95,-98.0,-95,-91.61797752808988,-94.12,-95,-95,-73.83561643835617,-95,-95,-95,-90.0,-95
"36,59",-95,-95,-95,-95,-98.0,-95,-93.6530612244898,-96.28571428571428,-95,-95,-70.59146341463415,-95,-95,-95,-90.86363636363636,-95
"27,63",-95,-95,-95,-95,-97.14285714285714,-95,-89.0952380952381,-96.64285714285714,-95,-95,-78.06542056074767,-95,-95,-95,-93.6086956521739,-95
"36,73",-95,-95,-95,-95,-95.66666666666669,-95,-86.6774193548387,-92.80851063829788,-95,-95,-77.02409638554217,-95,-95,-95,-91.8,-95
"17,78",-95,-95,-95,-95,-91.7596153846154,-95,-77.9568345323741,-73.76,-95,-95,-93.34343434343434,-95,-95,-95,-84.60283687943263,-95
"09,81",-95,-95,-95,-95,-97.25,-95,-93.74074074074076,-81.84782608695652,-95,-95,-95,-95,-95,-95,-94.92857142857144,-95
"80,32",-95,-95,-95,-95,-95,-95,-98.75,-95,-95,-95,-96.2,-98.0,-95,-95,-96.125,-95
"28,51",-95,-95,-95,-95,-95,-95,-90.74,-95.14285714285714,-95,-95,-75.89873417721519,-95,-95,-95,-91.50943396226415,-95
