Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,01-03-2024 16:53:57:305,-,3B:A2:90:BC:F1:97,-81,1e060001092022f913957f751f74330d0cbdf31716778a639724cf6862d9
2,01-03-2024 16:53:57:316,Echo Dot-9WN,44:B8:AC:0C:11:8D,-69,02000d094563686f20446f742d39574e
3,01-03-2024 16:53:57:331,-,3C:56:47:EA:E3:5A,-66,1e060001092022bca8f809d195810c48aa2326580d56d0e216f5d49d2af2
4,01-03-2024 16:53:57:357,Echo Dot-6TS,7C:09:42:C7:07:D6,-69,02000d094563686f20446f742d365453
5,01-03-2024 16:53:57:413,-,3B:A2:90:BC:F1:97,-90,1e060001092022f913957f751f74330d0cbdf31716778a639724cf6862d9
6,01-03-2024 16:53:57:422,-,2D:2A:6D:90:94:BF,-99,1e060001092002dd3a2320816dcb9bc6952e6042a197708a41eaf0803f96
7,01-03-2024 16:53:57:430,Echo Dot-9WN,44:B8:AC:0C:11:8D,-69,02000d094563686f20446f742d39574e
8,01-03-2024 16:53:57:444,-,3C:56:47:EA:E3:5A,-73,1e060001092022bca8f809d195810c48aa2326580d56d0e216f5d49d2af2
9,01-03-2024 16:53:57:451,[TV] Samsung The Frame 50,A0:D0:5B:A1:C5:58,-61,1b750042040120e6210d00220132010100010100000000000000051a095b54565d2053616d73756e6720546865204672616d65203530
10,01-03-2024 16:53:57:467,Echo Dot-6TS,7C:09:42:C7:07:D6,-69,02000d094563686f20446f742d365453
11,01-03-2024 16:53:57:517,[TV] Frame 1,A0:D0:5B:A1:C8:42,-69,1b750042040120e6210f00220132010100010100000000000000060d095b54565d204672616d652031
12,01-03-2024 16:53:57:522,-,3B:A2:90:BC:F1:97,-89,1e060001092022f913957f751f74330d0cbdf31716778a639724cf6862d9
13,01-03-2024 16:53:57:538,-,3C:56:47:EA:E3:5A,-81,1e060001092022bca8f809d195810c48aa2326580d56d0e216f5d49d2af2
14,01-03-2024 16:53:57:556,IW27,7C:D9:F4:02:F4:8A,-98,0689a00018065050949573237
15,01-03-2024 16:53:57:570,IW39,7C:D9:F4:03:A9:A3,-72,0689a00018067050949573339
16,01-03-2024 16:53:57:576,Echo Dot-6TS,7C:09:42:C7:07:D6,-75,02000d094563686f20446f742d365453
17,01-03-2024 16:53:57:624,-,3B:A2:90:BC:F1:97,-87,1e060001092022f913957f751f74330d0cbdf31716778a639724cf6862d9
18,01-03-2024 16:53:57:630,-,2D:2A:6D:90:94:BF,-96,1e060001092002dd3a2320816dcb9bc6952e6042a197708a41eaf0803f96
19,01-03-2024 16:53:57:642,Echo Dot-9WN,44:B8:AC:0C:11:8D,-72,02000d094563686f20446f742d39574e
20,01-03-2024 16:53:57:649,-,3C:56:47:EA:E3:5A,-65,1e060001092022bca8f809d195810c48aa2326580d56d0e216f5d49d2af2
21,01-03-2024 16:53:57:685,Echo Dot-6TS,7C:09:42:C7:07:D6,-63,02000d094563686f20446f742d365453
