loc,Pred_loc,dist_localization_error_gt
"119,80","119,80",0.0
"134,99","134,80",19.0
"165,97","119,80",49.04
"17,78","152,80",135.01
"33,83","152,83",119.0
"36,59","152,59",116.0
"47,78","152,78",105.0
"76,80","152,80",76.0
"80,78","152,78",72.0
