loc,Pred_loc,dist_localization_error_gt
"119,80","152,52",43.28
"134,99","33,52",111.4
"165,97","33,52",139.46
"17,78","152,52",137.48
"33,83","152,52",122.97
"36,59","152,52",116.21
"47,78","152,52",108.17
"76,80","152,52",80.99
"80,78","152,52",76.55
