rssi_mean,rssi_std,location
-96.2,2.6000000000000005,"80,32"
-96.17857142857143,2.0009564039759202,"80,52"
-96.63934426229508,1.58923413749471,"80,66"
-98.5,0.5,"80,78"
-94.7741935483871,2.0589643093203804,"76,80"
-98.33333333333333,1.178511301977579,"93,78"
-97.0,1.8708286933869707,"95,70"
-96.0,0.0,"89,70"
-91.3932584269663,4.4611128191182186,"63,80"
-96.45,2.5293279739883476,"54,78"
-87.95762711864407,3.9710692489055845,"49,80"
-88.9908256880734,3.980446272624261,"47,78"
-73.51633986928104,3.553704823981888,"42,63"
-73.83561643835617,4.86675526524445,"40,51"
-70.59146341463415,2.0236830236894385,"36,59"
-75.89873417721519,4.856406278514646,"28,51"
-78.06542056074767,7.832679001283491,"27,63"
-77.02409638554217,4.544229502769678,"36,73"
-89.6875,3.324775099805356,"33,83"
-89.5,3.8260800944163322,"25,80"
-93.34343434343434,2.7048837842120417,"17,78"
