rssi_mean,rssi_std,location
-95.34426229508196,1.9825901745075176,"134,99"
-96.92857142857143,1.8694646183289143,"144,84"
-96.83333333333333,2.034425935955617,"152,76"
-94.175,2.3546496554689407,"152,61"
-98.0,0.816496580927726,"144,66"
-95.8,2.2861904265976327,"134,76"
-95.26666666666667,1.4126413400278057,"134,60"
-97.05555555555556,1.1772011166898384,"152,52"
-96.4,1.2806248474865698,"134,52"
-72.9261744966443,4.035237341109085,"119,80"
-63.89054726368159,2.995512431184035,"116,62"
-80.03305785123968,5.525199797139115,"116,53"
-85.53787878787878,4.459252048695214,"110,45"
-84.10828025477707,4.023148967627818,"104,53"
-95.68085106382979,1.979752649268616,"93,53"
-98.0,1.8586407545691703,"80,78"
-97.46666666666667,1.9275776393067945,"93,78"
-90.67175572519083,3.27713044298359,"102,80"
-92.5,0.5,"33,83"
-97.5,1.8929694486000912,"152,92"
