rssi_mean,rssi_std,location
-98.11111111111111,1.1967032904743342,"152,76"
-97.0,2.160246899469287,"152,61"
-101.0,0.0,"134,76"
-93.91666666666667,3.925521904437959,"134,60"
-98.07142857142857,1.486332289048915,"152,52"
-96.475,1.378178145233772,"134,52"
-96.15789473684211,2.1463103688530194,"119,80"
-86.39669421487604,4.5281111652296335,"116,62"
-78.70247933884298,4.532061410631856,"116,53"
-73.78807947019868,3.8249949513418247,"110,45"
-65.39795918367346,2.5980361339742886,"104,53"
-86.20786516853933,4.219609777982994,"93,53"
-96.95,1.0712142642814275,"80,52"
