Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,29-02-2024 15:15:35:765,-,45:31:EE:C0:19:C9,-74,1e060001092002695568d9cc2e013ffdc7f4c7b7c3268ab0fef17e0eaabb
2,29-02-2024 15:15:35:782,-,13:BC:A4:51:06:A9,-77,1e060001092002730c9cbbc30e888222c1b3d9c3ad7cedda142031cd30e5
3,29-02-2024 15:15:35:818,-,44:AA:0D:2C:EA:7C,-97,0a4c001005601c84d4d6
4,29-02-2024 15:15:35:865,-,2E:1C:5A:C4:1A:D5,-87,1e060001092022420b75bbe8826e5db5d678d0bd3a2d5b1c21a1ad55786b
5,29-02-2024 15:15:35:872,-,3A:D6:B6:4B:94:F2,-92,1e0600010920229fc6c06f73522859c86c43f5afdf953332346b48c40149
6,29-02-2024 15:15:35:887,-,13:BC:A4:51:06:A9,-75,1e060001092002730c9cbbc30e888222c1b3d9c3ad7cedda142031cd30e5
7,29-02-2024 15:15:35:913,-,55:D7:A3:AD:40:FE,-102,1e060001092002bf04027b5691dc16602f083148f27599fc5f7ec575877b
8,29-02-2024 15:15:35:925,IW40,7C:D9:F4:03:AF:F6,-86,0689a00018064050949573430
9,29-02-2024 15:15:35:964,IW30,7C:D9:F4:01:14:69,-66,0689a0001806a050949573330
10,29-02-2024 15:15:35:970,-,2E:1C:5A:C4:1A:D5,-90,1e060001092022420b75bbe8826e5db5d678d0bd3a2d5b1c21a1ad55786b
11,29-02-2024 15:15:35:975,-,3A:D6:B6:4B:94:F2,-90,1e0600010920229fc6c06f73522859c86c43f5afdf953332346b48c40149
12,29-02-2024 15:15:35:979,-,45:31:EE:C0:19:C9,-83,1e060001092002695568d9cc2e013ffdc7f4c7b7c3268ab0fef17e0eaabb
13,29-02-2024 15:15:35:986,-,09:F0:B8:BB:C2:76,-96,1e0600010920025126a8d8d8e4355f0d474a26d91278edebaf8df009af5c
14,29-02-2024 15:15:35:993,-,13:BC:A4:51:06:A9,-81,1e060001092002730c9cbbc30e888222c1b3d9c3ad7cedda142031cd30e5
15,29-02-2024 15:15:36:027,IW52,7C:D9:F4:07:12:56,-93,0689a0001805c050949573532
16,29-02-2024 15:15:36:076,-,3A:D6:B6:4B:94:F2,-86,1e0600010920229fc6c06f73522859c86c43f5afdf953332346b48c40149
17,29-02-2024 15:15:36:088,-,45:31:EE:C0:19:C9,-75,1e060001092002695568d9cc2e013ffdc7f4c7b7c3268ab0fef17e0eaabb
18,29-02-2024 15:15:36:094,-,09:F0:B8:BB:C2:76,-85,1e0600010920025126a8d8d8e4355f0d474a26d91278edebaf8df009af5c
19,29-02-2024 15:15:36:132,OTAServiceMgr,7C:D9:F4:00:24:8A,-99,0389a000e094f5441536572766963654d6772
20,29-02-2024 15:15:36:199,-,09:F0:B8:BB:C2:76,-90,1e0600010920025126a8d8d8e4355f0d474a26d91278edebaf8df009af5c
21,29-02-2024 15:15:36:207,IW51,7C:D9:F4:09:66:EA,-81,0689a00018057050949573531
22,29-02-2024 15:15:36:230,IW40,7C:D9:F4:03:AF:F6,-80,0689a00018063050949573430
23,29-02-2024 15:15:36:267,IW30,7C:D9:F4:01:14:69,-64,0689a0001806a050949573330
24,29-02-2024 15:15:36:275,-,2E:1C:5A:C4:1A:D5,-87,1e060001092022420b75bbe8826e5db5d678d0bd3a2d5b1c21a1ad55786b
25,29-02-2024 15:15:36:285,-,45:31:EE:C0:19:C9,-84,1e060001092002695568d9cc2e013ffdc7f4c7b7c3268ab0fef17e0eaabb
26,29-02-2024 15:15:36:289,-,3A:D6:B6:4B:94:F2,-95,1e0600010920229fc6c06f73522859c86c43f5afdf953332346b48c40149
27,29-02-2024 15:15:36:292,-,CA:D0:20:2D:66:9D,-90,074c0012020000
28,29-02-2024 15:15:36:296,-,09:F0:B8:BB:C2:76,-86,1e0600010920025126a8d8d8e4355f0d474a26d91278edebaf8df009af5c
29,29-02-2024 15:15:36:310,-,13:BC:A4:51:06:A9,-75,1e060001092002730c9cbbc30e888222c1b3d9c3ad7cedda142031cd30e5
30,29-02-2024 15:15:36:387,-,3A:D6:B6:4B:94:F2,-96,1e0600010920229fc6c06f73522859c86c43f5afdf953332346b48c40149
31,29-02-2024 15:15:36:392,-,45:31:EE:C0:19:C9,-83,1e060001092002695568d9cc2e013ffdc7f4c7b7c3268ab0fef17e0eaabb
32,29-02-2024 15:15:36:398,-,44:AA:0D:2C:EA:7C,-95,0a4c001005601c84d4d6
33,29-02-2024 15:15:36:408,-,09:F0:B8:BB:C2:76,-98,1e0600010920025126a8d8d8e4355f0d474a26d91278edebaf8df009af5c
34,29-02-2024 15:15:36:421,-,13:BC:A4:51:06:A9,-81,1e060001092002730c9cbbc30e888222c1b3d9c3ad7cedda142031cd30e5
35,29-02-2024 15:15:36:426,FB BSW053,FA:61:2E:65:0A:30,-49,0af0ef00fa612e650a300a09464220425357303533
36,29-02-2024 15:15:36:482,-,2E:1C:5A:C4:1A:D5,-89,1e060001092022420b75bbe8826e5db5d678d0bd3a2d5b1c21a1ad55786b
37,29-02-2024 15:15:36:493,-,3A:D6:B6:4B:94:F2,-86,1e0600010920229fc6c06f73522859c86c43f5afdf953332346b48c40149
38,29-02-2024 15:15:36:500,-,45:31:EE:C0:19:C9,-68,1e060001092002695568d9cc2e013ffdc7f4c7b7c3268ab0fef17e0eaabb
39,29-02-2024 15:15:36:540,-,13:BC:A4:51:06:A9,-84,1e060001092002730c9cbbc30e888222c1b3d9c3ad7cedda142031cd30e5
40,29-02-2024 15:15:36:545,IW40,7C:D9:F4:03:AF:F6,-87,0689a00018063050949573430
41,29-02-2024 15:15:36:549,-,55:D7:A3:AD:40:FE,-98,1e060001092002bf04027b5691dc16602f083148f27599fc5f7ec575877b
42,29-02-2024 15:15:36:552,-,D4:48:FB:D9:30:EC,-99,074c0012020003
43,29-02-2024 15:15:36:573,IW30,7C:D9:F4:01:14:69,-66,0689a0001806a050949573330
44,29-02-2024 15:15:36:582,-,2E:1C:5A:C4:1A:D5,-93,1e060001092022420b75bbe8826e5db5d678d0bd3a2d5b1c21a1ad55786b
45,29-02-2024 15:15:36:598,-,3A:D6:B6:4B:94:F2,-86,1e0600010920229fc6c06f73522859c86c43f5afdf953332346b48c40149
46,29-02-2024 15:15:36:614,-,09:F0:B8:BB:C2:76,-83,1e0600010920025126a8d8d8e4355f0d474a26d91278edebaf8df009af5c
