Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,27-02-2024 11:43:15:078,-,25:0A:B3:12:5B:39,-99,1e060001092022b06ac7b7044232663c6fd11c7b9dea0f576aa90d051283
2,27-02-2024 11:43:15:093,IW19,7C:D9:F4:01:21:33,-97,0689a00018064050949573139
3,27-02-2024 11:43:15:202,IW52,7C:D9:F4:07:12:56,-68,0689a0001805c050949573532
4,27-02-2024 11:43:15:245,IW40,7C:D9:F4:03:AF:F6,-96,0689a00018064050949573430
5,27-02-2024 11:43:15:265,-,16:2E:D6:5D:9D:6C,-91,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
6,27-02-2024 11:43:15:371,-,16:2E:D6:5D:9D:6C,-93,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
7,27-02-2024 11:43:15:404,IW19,7C:D9:F4:01:21:33,-93,0689a00018064050949573139
8,27-02-2024 11:43:15:478,-,16:2E:D6:5D:9D:6C,-96,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
9,27-02-2024 11:43:15:687,IW24,7C:D9:F4:02:7C:E6,-77,0689a00018065050949573234
10,27-02-2024 11:43:15:701,-,16:2E:D6:5D:9D:6C,-96,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
11,27-02-2024 11:43:15:804,-,16:2E:D6:5D:9D:6C,-102,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
12,27-02-2024 11:43:15:822,IW52,7C:D9:F4:07:12:56,-74,0689a0001805c050949573532
13,27-02-2024 11:43:15:861,IW11,7C:D9:F4:00:41:91,-84,0689a00018066050949573131
14,27-02-2024 11:43:15:905,-,16:2E:D6:5D:9D:6C,-102,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
15,27-02-2024 11:43:15:994,IW24,7C:D9:F4:02:7C:E6,-83,0689a00018065050949573234
16,27-02-2024 11:43:16:015,-,16:2E:D6:5D:9D:6C,-105,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
17,27-02-2024 11:43:16:119,-,16:2E:D6:5D:9D:6C,-99,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
18,27-02-2024 11:43:16:131,IW52,7C:D9:F4:07:12:56,-66,0689a0001805c050949573532
19,27-02-2024 11:43:16:139,IW31,7C:D9:F4:02:66:A7,-92,0689a00018066050949573331
20,27-02-2024 11:43:16:165,IW11,7C:D9:F4:00:41:91,-89,0689a00018066050949573131
21,27-02-2024 11:43:16:327,-,16:2E:D6:5D:9D:6C,-102,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
22,27-02-2024 11:43:16:374,FB BSW053,FA:61:2E:65:0A:30,-55,0af0ef00fa612e650a300a09464220425357303533
23,27-02-2024 11:43:16:404,IW42,7C:D9:F4:03:4B:CB,-91,0689a00018064050949573432
24,27-02-2024 11:43:16:428,-,48:DE:70:8C:2C:01,-94,0a4c0010052e18d1311a
25,27-02-2024 11:43:16:439,IW52,7C:D9:F4:07:12:56,-68,0689a0001805c050949573532
26,27-02-2024 11:43:16:448,IW28,7C:D9:F4:01:13:8F,-75,0689a00018066050949573238
27,27-02-2024 11:43:16:604,IW24,7C:D9:F4:02:7C:E6,-89,0689a00018065050949573234
28,27-02-2024 11:43:16:658,-,25:0A:B3:12:5B:39,-97,1e060001092022b06ac7b7044232663c6fd11c7b9dea0f576aa90d051283
29,27-02-2024 11:43:16:710,IW42,7C:D9:F4:03:4B:CB,-92,0689a00018064050949573432
30,27-02-2024 11:43:16:740,-,0E:D6:FE:C7:12:7F,-99,1e0600010f20229eb549ca7e263f6058ab15ebabaf165a74d65d702ee104
31,27-02-2024 11:43:16:748,IW28,7C:D9:F4:01:13:8F,-74,0689a00018066050949573238
32,27-02-2024 11:43:16:781,IW11,7C:D9:F4:00:41:91,-90,0689a00018066050949573131
33,27-02-2024 11:43:16:843,-,0E:D6:FE:C7:12:7F,-99,1e0600010f20229eb549ca7e263f6058ab15ebabaf165a74d65d702ee104
34,27-02-2024 11:43:16:875,-,16:2E:D6:5D:9D:6C,-102,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
35,27-02-2024 11:43:17:091,IW11,7C:D9:F4:00:41:91,-89,0689a00018066050949573131
36,27-02-2024 11:43:17:100,IW40,7C:D9:F4:03:AF:F6,-93,0689a00018064050949573430
37,27-02-2024 11:43:17:153,-,6B:DF:7B:5C:D7:FC,-105,0d4c001608001d210fca5d0c3b
38,27-02-2024 11:43:17:302,-,16:2E:D6:5D:9D:6C,-93,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
39,27-02-2024 11:43:17:355,IW52,7C:D9:F4:07:12:56,-66,0689a0001805c050949573532
40,27-02-2024 11:43:17:363,IW28,7C:D9:F4:01:13:8F,-84,0689a00018066050949573238
41,27-02-2024 11:43:17:370,-,0E:D6:FE:C7:12:7F,-105,1e0600010f20229eb549ca7e263f6058ab15ebabaf165a74d65d702ee104
42,27-02-2024 11:43:17:394,-,16:2E:D6:5D:9D:6C,-96,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
43,27-02-2024 11:43:17:506,-,16:2E:D6:5D:9D:6C,-99,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
44,27-02-2024 11:43:17:523,-,48:DE:70:8C:2C:01,-92,0a4c0010052e18d1311a
45,27-02-2024 11:43:17:605,-,16:2E:D6:5D:9D:6C,-102,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
46,27-02-2024 11:43:17:659,IW52,7C:D9:F4:07:12:56,-69,0689a0001805c050949573532
47,27-02-2024 11:43:17:667,IW28,7C:D9:F4:01:13:8F,-82,0689a00018066050949573238
48,27-02-2024 11:43:17:737,-,65:AA:3F:8F:4C:8A,-97,0a4c001005051cd40b51
49,27-02-2024 11:43:17:829,IW24,7C:D9:F4:02:7C:E6,-83,0689a00018065050949573234
50,27-02-2024 11:43:17:866,IW19,7C:D9:F4:01:21:33,-96,0689a00018064050949573139
51,27-02-2024 11:43:17:935,IW56,7C:D9:F4:1D:65:E1,-94,0689a0001805d050949573536
52,27-02-2024 11:43:17:943,IW42,7C:D9:F4:03:4B:CB,-91,0689a00018064050949573432
53,27-02-2024 11:43:18:007,IW11,7C:D9:F4:00:41:91,-97,0689a00018066050949573131
54,27-02-2024 11:43:18:018,IW40,7C:D9:F4:03:AF:F6,-93,0689a00018064050949573430
55,27-02-2024 11:43:18:121,-,16:2E:D6:5D:9D:6C,-99,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
56,27-02-2024 11:43:18:137,IW24,7C:D9:F4:02:7C:E6,-83,0689a00018065050949573234
57,27-02-2024 11:43:18:229,-,16:2E:D6:5D:9D:6C,-99,1e0600010f2022263f7cab6789b4df8623c68a457f7d42e684294f3a83f4
58,27-02-2024 11:43:18:285,-,43:F5:8F:43:F2:B8,-93,0d4c0016080029d5cc27f63e9a
59,27-02-2024 11:43:18:320,IW40,7C:D9:F4:03:AF:F6,-93,0689a00018064050949573430
