Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,29-02-2024 16:39:14:965,IW30,7C:D9:F4:01:14:69,-86,0689a0001806a050949573330
2,29-02-2024 16:39:14:970,MG1_F7EFAA,7C:D9:F4:02:BD:E9,-84,0589a0001000b094d47315f463745464141
3,29-02-2024 16:39:14:978,MG1_6FE3AA,7C:D9:F4:00:5A:A6,-90,0589a0001000b094d47315f364645334141
4,29-02-2024 16:39:14:983,-,38:DF:D0:F5:5B:E8,-95,1e060001092022c0dcbb21dc28a747e61d806a56536b6e988561faffbc38
5,29-02-2024 16:39:14:993,-,19:00:11:1F:58:B1,-85,1e0600010920029988d247e30bfc020602e5c5973f68e90c186076a5cad3
6,29-02-2024 16:39:15:007,-,52:D4:60:6F:F2:B7,-84,0a4c001005161c174417
7,29-02-2024 16:39:15:012,-,03:1F:35:EE:13:DB,-95,1e060001092002601151743285374114948fe18b570d599db33a27e0eae7
8,29-02-2024 16:39:15:054,-,39:55:F6:73:DC:70,-83,1e0600010920263b0f6445cb89aed569ee37e5016153824eded1cbe264a4
9,29-02-2024 16:39:15:076,-,23:24:53:44:18:FB,-79,1e06000109202278df63d51170d4768287d0b69251143d04b661ba2551da
10,29-02-2024 16:39:15:083,-,38:DF:D0:F5:5B:E8,-96,1e060001092022c0dcbb21dc28a747e61d806a56536b6e988561faffbc38
11,29-02-2024 16:39:15:104,-,34:0D:36:1D:C6:54,-97,1e0600010f2022afc9bd4c171d4e459e154cb6c912915ccf401100c1f548
12,29-02-2024 16:39:15:117,-,03:1F:35:EE:13:DB,-87,1e060001092002601151743285374114948fe18b570d599db33a27e0eae7
13,29-02-2024 16:39:15:145,UFO,55:46:4F:60:16:36,-94,094b10055464f601636040955464f
14,29-02-2024 16:39:15:157,-,DF:2A:2F:28:02:AD,-82,074c0012020002
15,29-02-2024 16:39:15:163,-,6F:23:3C:C4:34:B8,-94,1e060001092002e6f368db90b623802e31288ab07598acdfc43f602a7371
16,29-02-2024 16:39:15:201,UFO,55:46:4F:F3:55:27,-84,094b10055464ff35527040955464f
17,29-02-2024 16:39:15:206,-,19:00:11:1F:58:B1,-92,1e0600010920029988d247e30bfc020602e5c5973f68e90c186076a5cad3
18,29-02-2024 16:39:15:210,-,D9:EB:11:5B:11:A7,-81,074c0012020003
19,29-02-2024 16:39:15:236,MG1_B7F8AA,7C:D9:F4:03:2E:F6,-93,0589a0001000b094d47315f423746384141
20,29-02-2024 16:39:15:239,MG1_201FAA,7C:D9:F4:00:7E:25,-93,0589a0001000b094d47315f323031464141
