Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,27-02-2024 12:17:39:620,-,1F:E5:AB:CC:E4:85,-90,1e0600010f2022d94ba4b01b6f1bb132ffb12eac987789c50735a6f83de8
2,27-02-2024 12:17:39:648,-,14:A1:37:A7:93:0B,-81,1e060001092026f6085d419cf7cec042cd40a06aa4112714862828c4dec2
3,27-02-2024 12:17:39:656,-,1B:62:03:8A:96:E4,-81,1e060001092022d84f909671512c2b277c3a6014d154b9146adbfb4da3f4
4,27-02-2024 12:17:39:663,-,31:04:BD:D9:59:FB,-93,1e06000109202236f6d87d0ce13eba63e568c774a389c7b32b4b02d83300
5,27-02-2024 12:17:39:670,-,38:E3:6D:85:7D:EF,-86,1e06000109202215d5583998c8619108463928e73976f4b5c664cf546fd1
6,27-02-2024 12:17:39:676,-,77:09:C8:65:D4:F8,-96,174c0009081302c0a8013e1b58160800534e3e56822522
7,27-02-2024 12:17:39:698,-,59:5A:6A:43:A1:E5,-81,1e060001092002c4840d0b0f1d0c5f292bcc63f5c0fff11d68f046b58fd0
8,27-02-2024 12:17:39:705,-,30:36:1C:9C:23:CB,-87,1e0600010f2022053e47c509401171036f57a917558c042b511332ed63e9
9,27-02-2024 12:17:39:719,-,1F:E5:AB:CC:E4:85,-83,1e0600010f2022d94ba4b01b6f1bb132ffb12eac987789c50735a6f83de8
10,27-02-2024 12:17:39:737,L3250 Series,A6:D7:3C:1C:2D:FE,-78,064000006d020d094c3332353020536572696573
11,27-02-2024 12:17:39:744,IW42,7C:D9:F4:03:4B:CB,-99,0689a00018064050949573432
12,27-02-2024 12:17:39:758,IW20,7C:D9:F4:02:4C:FB,-95,0689a00018064050949573230
13,27-02-2024 12:17:39:763,-,14:A1:37:A7:93:0B,-82,1e060001092026f6085d419cf7cec042cd40a06aa4112714862828c4dec2
14,27-02-2024 12:17:39:768,-,1B:62:03:8A:96:E4,-82,1e060001092022d84f909671512c2b277c3a6014d154b9146adbfb4da3f4
15,27-02-2024 12:17:39:774,-,2D:DC:0B:B0:01:08,-86,1e060001092022d3902d02bad34d2a59d91ad250d87d55dc7750fe5136a8
16,27-02-2024 12:17:39:780,-,38:E3:6D:85:7D:EF,-96,1e06000109202215d5583998c8619108463928e73976f4b5c664cf546fd1
17,27-02-2024 12:17:39:786,IW02,7C:D9:F4:01:B8:83,-97,0689a00018063050949573032
18,27-02-2024 12:17:39:798,-,59:5A:6A:43:A1:E5,-89,1e060001092002c4840d0b0f1d0c5f292bcc63f5c0fff11d68f046b58fd0
19,27-02-2024 12:17:39:804,IW11,7C:D9:F4:00:41:91,-89,0689a00018066050949573131
20,27-02-2024 12:17:39:824,-,1F:E5:AB:CC:E4:85,-87,1e0600010f2022d94ba4b01b6f1bb132ffb12eac987789c50735a6f83de8
21,27-02-2024 12:17:39:836,L3250 Series,A6:D7:3C:1C:2D:FE,-81,064000006d020d094c3332353020536572696573
22,27-02-2024 12:17:39:857,-,5B:F3:C3:95:6C:6E,-95,0a4c001005701c38a3e2
23,27-02-2024 12:17:39:862,-,14:A1:37:A7:93:0B,-83,1e060001092026f6085d419cf7cec042cd40a06aa4112714862828c4dec2
