Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,29-02-2024 16:18:50:939,IW52,7C:D9:F4:07:12:56,-85,0689a0001805c050949573532
2,29-02-2024 16:18:50:945,-,69:79:DC:BF:09:64,-82,1e06000109200228eea1a47994c1cc8ec1577b5b9b3778400166e69a68f5
3,29-02-2024 16:18:50:975,-,31:1D:87:4D:B3:90,-96,1e060001092022bcf314f6e37c234707eafec8a2593bd7ea69e9d0460c3e
4,29-02-2024 16:18:50:980,-,19:5B:9A:D3:A6:3C,-95,1e0600010920024565bec1f03c09b077394961e3f8990b1d366e71d1660b
5,29-02-2024 16:18:50:995,-,0A:05:55:66:05:B1,-96,1e06000109202670fb08e25c75af164df2cfa236e23c6bfe39efca68f508
6,29-02-2024 16:18:51:002,-,1C:FA:58:5D:A1:42,-95,1e0600010920223ac159bd9c76f6803d1b466600e9c3807ed9f7ecf0196b
7,29-02-2024 16:18:51:017,-,27:14:21:90:78:F1,-93,1c06000109212af45afd5566704c4150544f502d5654514b4d41494f
8,29-02-2024 16:18:51:039,-,6F:34:81:56:B3:45,-91,0200
9,29-02-2024 16:18:51:061,IW24,7C:D9:F4:02:7C:E6,-76,0689a00018065050949573234
10,29-02-2024 16:18:51:111,-,1C:FA:58:5D:A1:42,-102,1e0600010920223ac159bd9c76f6803d1b466600e9c3807ed9f7ecf0196b
11,29-02-2024 16:18:51:118,IW30,7C:D9:F4:01:14:69,-95,0689a0001806a050949573330
12,29-02-2024 16:18:51:125,-,27:14:21:90:78:F1,-83,1c06000109212af45afd5566704c4150544f502d5654514b4d41494f
13,29-02-2024 16:18:51:147,IW42,7C:D9:F4:03:4B:CB,-65,0689a00018064050949573432
14,29-02-2024 16:18:51:154,-,69:79:DC:BF:09:64,-90,1e06000109200228eea1a47994c1cc8ec1577b5b9b3778400166e69a68f5
15,29-02-2024 16:18:51:184,-,19:5B:9A:D3:A6:3C,-96,1e0600010920024565bec1f03c09b077394961e3f8990b1d366e71d1660b
16,29-02-2024 16:18:51:208,IW56,7C:D9:F4:1D:65:E1,-97,0689a0001805c050949573536
17,29-02-2024 16:18:51:234,-,27:14:21:90:78:F1,-84,1c06000109212af45afd5566704c4150544f502d5654514b4d41494f
18,29-02-2024 16:18:51:248,-,69:79:DC:BF:09:64,-89,1e06000109200228eea1a47994c1cc8ec1577b5b9b3778400166e69a68f5
19,29-02-2024 16:18:51:284,-,31:1D:87:4D:B3:90,-99,1e060001092022bcf314f6e37c234707eafec8a2593bd7ea69e9d0460c3e
20,29-02-2024 16:18:51:291,-,19:5B:9A:D3:A6:3C,-96,1e0600010920024565bec1f03c09b077394961e3f8990b1d366e71d1660b
21,29-02-2024 16:18:51:298,-,6F:34:81:56:B3:45,-93,0200
22,29-02-2024 16:18:51:352,-,69:79:DC:BF:09:64,-87,1e06000109200228eea1a47994c1cc8ec1577b5b9b3778400166e69a68f5
23,29-02-2024 16:18:51:363,IW24,7C:D9:F4:02:7C:E6,-75,0689a00018065050949573234
24,29-02-2024 16:18:51:426,-,1C:FA:58:5D:A1:42,-98,1e0600010920223ac159bd9c76f6803d1b466600e9c3807ed9f7ecf0196b
25,29-02-2024 16:18:51:443,-,27:14:21:90:78:F1,-79,1c06000109212af45afd5566704c4150544f502d5654514b4d41494f
26,29-02-2024 16:18:51:454,IW42,7C:D9:F4:03:4B:CB,-63,0689a00018064050949573432
