Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,29-02-2024 16:36:34:491,-,03:1F:35:EE:13:DB,-84,1e060001092002601151743285374114948fe18b570d599db33a27e0eae7
2,29-02-2024 16:36:34:501,-,38:DF:D0:F5:5B:E8,-77,1e060001092022c0dcbb21dc28a747e61d806a56536b6e988561faffbc38
3,29-02-2024 16:36:34:505,-,38:A7:31:76:38:D7,-85,1e060001092002aa8fe274910320da396e522f6c6929109e23a1d0355305
4,29-02-2024 16:36:34:515,-,39:55:F6:73:DC:70,-87,1e0600010920263b0f6445cb89aed569ee37e5016153824eded1cbe264a4
5,29-02-2024 16:36:34:528,OTAServiceMgr,7C:D9:F4:00:24:8A,-89,0389a000e094f5441536572766963654d6772
6,29-02-2024 16:36:34:532,-,67:90:42:64:11:B8,-44,0a4c0010057e1ce9b420
7,29-02-2024 16:36:34:559,-,50:B8:25:E7:B5:91,-85,0d4c00090813050ac2b88d1b58
8,29-02-2024 16:36:34:574,-,23:24:53:44:18:FB,-81,1e06000109202278df63d51170d4768287d0b69251143d04b661ba2551da
9,29-02-2024 16:36:34:589,IW47,7C:D9:F4:03:D2:6C,-99,0689a00018066050949573437
10,29-02-2024 16:36:34:603,-,03:1F:35:EE:13:DB,-84,1e060001092002601151743285374114948fe18b570d599db33a27e0eae7
11,29-02-2024 16:36:34:623,-,39:55:F6:73:DC:70,-86,1e0600010920263b0f6445cb89aed569ee37e5016153824eded1cbe264a4
12,29-02-2024 16:36:34:649,IW19,7C:D9:F4:01:21:33,-84,0689a00018064050949573139
13,29-02-2024 16:36:34:655,-,5E:43:67:45:9F:CF,-86,1a4c000c0e00df82aba4c78e043e0dbd79108110054d1c5c8696
14,29-02-2024 16:36:34:661,-,71:14:36:6A:06:71,-95,1a4c000c0e00df82aba4c78e043e0dbd79108110054d1c5c8696
15,29-02-2024 16:36:34:666,-,19:00:11:1F:58:B1,-86,1e0600010920029988d247e30bfc020602e5c5973f68e90c186076a5cad3
16,29-02-2024 16:36:34:672,-,1C:8A:79:A8:F6:0D,-93,1c06000109212af45afd5566704c4150544f502d5654514b4d41494f
17,29-02-2024 16:36:34:700,-,38:DF:D0:F5:5B:E8,-84,1e060001092022c0dcbb21dc28a747e61d806a56536b6e988561faffbc38
18,29-02-2024 16:36:34:709,MG1_202FAA,7C:D9:F4:02:C8:16,-99,0589a0001000b094d47315f323032464141
19,29-02-2024 16:36:34:716,-,03:1F:35:EE:13:DB,-77,1e060001092002601151743285374114948fe18b570d599db33a27e0eae7
20,29-02-2024 16:36:34:724,IW49,7C:D9:F4:02:90:59,-90,0689a00018062050949573439
21,29-02-2024 16:36:34:732,-,38:A7:31:76:38:D7,-83,1e060001092002aa8fe274910320da396e522f6c6929109e23a1d0355305
22,29-02-2024 16:36:34:739,-,39:55:F6:73:DC:70,-86,1e0600010920263b0f6445cb89aed569ee37e5016153824eded1cbe264a4
23,29-02-2024 16:36:34:747,IW51,7C:D9:F4:09:66:EA,-72,0689a00018057050949573531
24,29-02-2024 16:36:34:757,IW30,7C:D9:F4:01:14:69,-87,0689a0001806a050949573330
25,29-02-2024 16:36:34:764,-,1C:8A:79:A8:F6:0D,-100,1c06000109212af45afd5566704c4150544f502d5654514b4d41494f
26,29-02-2024 16:36:34:772,-,50:B8:25:E7:B5:91,-86,0d4c00090813050ac2b88d1b58
27,29-02-2024 16:36:34:780,-,19:00:11:1F:58:B1,-96,1e0600010920029988d247e30bfc020602e5c5973f68e90c186076a5cad3
28,29-02-2024 16:36:34:787,-,23:24:53:44:18:FB,-81,1e06000109202278df63d51170d4768287d0b69251143d04b661ba2551da
29,29-02-2024 16:36:34:804,-,38:DF:D0:F5:5B:E8,-86,1e060001092022c0dcbb21dc28a747e61d806a56536b6e988561faffbc38
30,29-02-2024 16:36:34:813,-,67:90:42:64:11:B8,-46,0a4c0010057e1ce9b420
31,29-02-2024 16:36:34:823,MG1_8BF7AA,7C:D9:F4:00:27:87,-92,0589a0001000b094d47315f384246374141
