rssi_mean,rssi_std,location
-97.5,0.9354143466934853,"152,52"
-86.79338842975207,2.979037937143552,"119,80"
-93.86363636363636,3.004473249029226,"116,62"
-91.5,4.5,"116,53"
-97.88888888888889,2.23330569358242,"80,52"
-94.55263157894737,2.7548748029729775,"80,66"
-77.52694610778443,5.427601196255913,"80,78"
-82.5505617977528,6.1141045922753205,"76,80"
-82.56,4.9375837545639,"93,78"
-76.4733727810651,4.605200416145707,"102,80"
-87.2948717948718,4.525168857478321,"95,70"
-84.01234567901234,4.5324449760314725,"89,70"
-82.83435582822086,5.184052709912694,"63,80"
-96.2,2.114500203620494,"63,92"
-97.07317073170732,1.6731778425504875,"60, 100"
-95.20833333333333,2.2817969283488444,"65, 103"
-83.8623188405797,4.393988035357222,"54,78"
-91.4,3.8236108588610325,"49,80"
-85.67088607594937,5.032103314900385,"47,78"
-97.4375,1.27322179921646,"42,63"
-98.0,0.0,"40,51"
-98.0,0.0,"36,59"
-97.14285714285714,1.8461211404742977,"27,63"
-95.66666666666667,1.1547005383792515,"36,73"
-88.70394736842105,4.055274044522427,"33,83"
-88.31428571428572,3.4498151384959628,"25,80"
-91.75961538461539,2.9368192903852113,"17,78"
-97.25,1.0897247358851685,"09,81"
