rssi_mean,rssi_std,location
-94.71428571428571,2.855952132833114,"119,80"
-98.0,1.1547005383792515,"80,32"
-97.06060606060606,1.8080525927486422,"80,52"
-91.6734693877551,2.947761205832981,"80,66"
-88.4625850340136,4.498332433040423,"80,78"
-93.74666666666667,2.7524211564043433,"76,80"
-72.70984455958549,4.144883415134987,"93,78"
-87.42307692307692,4.257780903810349,"102,80"
-70.02525252525253,5.269923109751759,"95,70"
-67.52657004830918,4.5245459722225245,"89,70"
-96.475,1.8301297768191194,"63,80"
-98.0,1.4368424162141993,"54,78"
-98.0,0.0,"49,80"
-95.81818181818181,1.5066427751098246,"47,78"
-99.0,0.0,"33,83"
-100.0,0.0,"25,80"
