loc,Pred_loc,dist_localization_error_gt
"116,53","105,64",15.56
"119,80","114,77",5.83
"134,99","133,99",1.0
"144,66","135,79",15.81
"144,84","137,90",9.22
"165,97","161,104",8.06
"25,80","33,83",8.54
"36,59","43,64",8.6
"47,78","49,78",2.0
"49,80","48,78",2.24
"63,92","66,98",6.71
"76,80","76,82",2.0
"93,78","89,74",5.66
